,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,11,REGION 1,Ilocos Sur,Candon City,"43 Madarang St., San Jose",RESONABLE HOSPITAL,Private,N/A,General,Level 1,24,"077-742-6162
742-6461
09175131575",resonablehospital2002@gmail.com,1/1/2025,12/31/2025
,12,REGION 1,Ilocos Sur,Sinait,"Maharlika Highway, Brgy. Namnama",CORPUZ CLINIC AND HOSPITAL,Private,N/A,General,Level 1,50,"077-674-0273 /
09175653740
09175133380",corpuzclinichospital@yahoo.com,1/1/2025,12/31/2025
,13,REGION 1,Ilocos Sur,Sinait,"National Highway, Tapao",STO. CRISTO MILAGROSO HOSPITAL,Private,N/A,General,Level 1,25,9171059045,stocristomilagrosohospital@gmail.com,1/1/2025,12/31/2025
,14,REGION 1,Ilocos Sur,Sta. Maria,"Simpson St., Poblacion Sur",REYES ULEP CLINIC AND HOSPITAL,Private,N/A,General,Level 1,25,"077-604-9281
09669530782",reyesulepclinicandhospital@gmail.com,1/1/2025,12/31/2025
,15,REGION 1,Ilocos Sur,Vigan City,"Rizal Street Extension, Brgy. Tamag,",ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,Private,N/A,General,Level 1,11,"077-674-0109 /
09163345089
09158024251",iscmmgh_coop@yahoo.com.ph,1/1/2025,12/31/2025
,16,REGION 1,Ilocos Sur,Vigan City,Pantay Daya,"VQR FOUNDATION FOR MEDICAL AND COMMUNITY DEVELOPMENT, INC.",Private,N/A,General,Level 1,30,"077-647-2788
09263414156
09263414158",st.jamesvqrhospital@yahoo.com,1/1/2025,12/31/2025
,17,REGION 1,La Union,Agoo,San Pedro,AGOO FAMILY HOSPITAL,Private,N/A,General,Level 1,15,"072-607-2708 /
09175640199",docjoe1959@yahoo.com,1/1/2025,12/31/2025
,18,REGION 1,La Union,San Fernando City,"Widdoes St. Brgy. II,",BETHANY HOSPITAL INC.,Private,,General,Level 2,80,0905-2532600,bethanyhospital.mis@gmail.com,1/1/2025,12/31/2025
,19,REGION 1,La Union,San Fernando City,"Ancheta St., Catbangen","LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL, INC.",Private,N/A,General,Level 1,18,"072-607-8339/3898
09084164480
09951686286",launionmed@gmail.com,1/1/2025,12/31/2025
,20,REGION 1,La Union,San Fernando City,"Carlatan, San Fernando City, La Union","LORMA MEDICAL CENTER, INC.",Private,N/A,General,Level 3,200,(0917)5288406,iso.lorma@gmail.com,1/1/2025,12/31/2025
,21,REGION 1,Pangasinan,Alaminos City,Bolaney,ALAMINOS DOCTORS HOSPITAL,Private,N/A,General,Level 1,42,"075-696-1843 /
09162502788
09209687680",aldochos2000@gmail.com,1/1/2025,12/31/2025
,22,REGION 1,Pangasinan,Alaminos City,"Sadsaran Street, Poblacion","C & H MEDICAL AND SURGICAL CLINIC, INC.",Private,N/A,General,Level 1,8,9257468685,cnhhospital@yahoo.com,1/1/2025,12/31/2025
,23,REGION 1,Pangasinan,Bayambang,"San Carlos Road, Asin",JULIUS K. QUIAMBAO (JKQ) MEDICAL AND WELLNESS CENTER,Private,N/A,General,Level 2,100,0969-5022675,compliance@jkqmwc.com,1/1/2025,12/31/2025
,24,REGION 1,Pangasinan,Bayambang,"J. Luna St., Polbacion Sur","NUESTRO SEÑOR SANTO NIÑO HOSPITAL, INC.",Private,N/A,General,Level 1,12,"075-633-5805 /
09156472085",nssnh@yahoo.com,1/1/2025,12/31/2025
,25,REGION 1,Pangasinan,Binmaley,"National Road, Brgy. Naguilayan",CENTRAL PANGASINAN HOSPITAL AND MEDICAL CENTER,Private,,General,Level 2,100,0915-7196061,cphmc.corp@gmail.com,1/1/2025,12/31/2025
,26,REGION 1,Pangasinan,Dagupan City,"23 De Venecia Road, Malued, Dagupan City, Pangasinan","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-PANGASINAN, INC.",Private,N/A,General,Level 2,100,9178015958,acemcpangasinan.admin@gmail.com,1/1/2025,12/31/2025
,27,REGION 1,Pangasinan,Dagupan City,"Burgos St., Poblacion Oeste","CUISON HOSPITAL, INCORPORATED",Private,N/A,General,Level 1,18,"075-515-5121/ 075-522-0387/
09175084527",cuisonhospinc@gmail.com,1/1/2025,12/31/2025
,28,REGION 1,Pangasinan,Dagupan City,"Mcarthur Highway, Mayombo District","DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL, INC.",Private,N/A,General,Level 2,100,"09950917916
09062951678",licensing@villaflorhospital.com.ph,1/1/2025,12/31/2025
,29,REGION 1,Pangasinan,Dagupan City,Bonuan Gueset,DECENA GENERAL HOSPITAL,Private,N/A,General,Level 1,15,"075-615-7040; Fax 522-2763 /
09052321682
09479906300",dgh_dag@yahoo.com,1/1/2025,12/31/2025
,30,REGION 1,Pangasinan,Dagupan City,"329 Mcarthur Highway, Tapuac","LUZON MEDICAL CENTER, INC.",Private,N/A,General,Level 2,70,9318065997,luzonmedicalcenter@gmail.com,1/1/2025,12/31/2025
,31,REGION 1,Pangasinan,Dagupan City,AB Fernandez Avenue East,MEDICAL CENTRUM DAGUPAN,Private,,General,Level 2,42,0928-7676693,medcentrum_dagupan@yahoo.com.ph,1/1/2025,12/31/2025
,32,REGION 1,Pangasinan,Dagupan City,203 Perez Boulevard,NAZARETH GENERAL HOSPITAL,Private,,General,Level 2,60,0977-7564299,eeg_ngh@yahoo.com,1/1/2025,12/31/2025
,33,REGION 1,Pangasinan,Dagupan City,Tapuac District,SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER,Private,N/A,General,Level 2,80,075-522-2254,"carl_md2000@yahoo.com
sghtchr@gmail.com
sghtcitdept@gmail.com",1/1/2025,12/31/2025
,34,REGION 1,Pangasinan,Dagupan City,Nable St.,THE MEDICAL CITY PANGASINAN,Private,N/A,General,Level 2,75,0925-7072534,tmcpangasinan@themedicalcity.com,1/1/2025,12/31/2025
,35,REGION 1,Pangasinan,Lingayen,"Solis St.,",JESUS NAZARENE GENERAL HOSPITAL,Private,,General,Level 2,30,"09334900058
09773485328",jngh08@yahoo.com,1/1/2025,12/31/2025
,36,REGION 1,Pangasinan,Malasiqui,Brgy. Cabatling,UNIVERSAL HEALTH GENERAL HOSPITAL,Private,N/A,General,Level 2,50,0917-7915894,uhgh143@gmail.com,1/1/2025,12/31/2025
,37,REGION 1,Pangasinan,Mangatarem,Umangan,"MBP-BLESSED TRINITY GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,18,075-632-1288,MBP_BTGH_inc@yahoo.com,1/1/2025,12/31/2025
,38,REGION 1,Pangasinan,Rosales,"Mcarthur Highway, Carmen West","DEL CARMEN MEDICAL CLINIC AND HOSPITAL, INC.",Private,N/A,General,Level 1,28,"075-637-5221 /
09083805660",delcarmenhospital@yahoo.com,1/1/2025,12/31/2025
,39,REGION 1,Pangasinan,Rosales,Carmen West,"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",Private,N/A,General,Level 1,25,"075-632-1282 /
075-637-5294 /
09228669359",dmmcmhi@yahoo.com,1/1/2025,12/31/2025
,40,REGION 1,Pangasinan,Rosales,"Purok 5, Carmay East",ROSALES CHUA PUN MEMORIAL HOSPITAL,Private,N/A,General,Level 1,12,"075-523-1373 /
09692910161",rchuapun.hosp@gmail.com,1/1/2025,12/31/2025
,41,REGION 1,Pangasinan,San Carlos City,Brgy. Ilang,"BLESSED FAMILY DOCTORS GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,75,"0907-9550303
0995-4017889",bfdgh_2003@yahoo.com.ph,1/1/2025,12/31/2025
,42,REGION 1,Pangasinan,San Carlos City,259 Rizal Avenue,ELGUIRA GENERAL HOSPITAL,Private,N/A,General,Level 2,30,"0981-2822489
09238280447",ehospitalbilling@gmail.com,1/1/2025,12/31/2025
,43,REGION 1,Pangasinan,San Carlos City,Rizal Avenue,PANGASINAN DOCTORS HOSPITAL,Private,,General,Level 2,37,0977-7564299,recordspdh@gmail.com,1/1/2025,12/31/2025
,44,REGION 1,Pangasinan,San Carlos City,Martin P. Posadas Avenue,"VIRGEN MILAGROSA MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,075-532-9999,vmmc1957@gmail.com,1/1/2025,12/31/2025
,45,REGION 1,Pangasinan,Sison,Barangay Artacho,"NORTHERN LUZON ADVENTIST HOSPITAL, INC.",Private,N/A,General,Level 1,18,"075-632-3200 /
09614283409",nlahospital@yahoo.com,1/1/2025,12/31/2025
,46,REGION 1,Pangasinan,Tayug,Barangobong,TAYUG FAMILY HOSPITAL,Private,N/A,General,Level 2,70,0998-8609177,tayugfamilyhospital@yahoo.com,1/1/2025,12/31/2025
,47,REGION 1,Pangasinan,Urdaneta,"25 High School Drive, San Vicente West",DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,Private,N/A,General,Level 1,15,"075-656-2103 /
09175002025",dmhospurd@gmail.com,1/1/2025,12/31/2025
,48,REGION 1,Pangasinan,Urdaneta,"Mcarthur Highway, San Vicente","URDANETA SACRED HEART HOSPITAL, INC.",Private,N/A,General,Level 2,128,0999-2207328,"urdanetasacredhearthospital@gmail.com
ushhi1@yahoo.com",1/1/2025,12/31/2025
,49,REGION 2,Cagayan,Abulug,"No. 7 National Highway,",APAYAO CAGAYAN MEDICAL CENTER INC.,Private,N/A,General,Level 1,25,9171466558,apayaocagayanmedcenter@gmail.com,1/1/2025,12/31/2025
,50,REGION 2,Cagayan,Aparri,"Diego Silang Street,Punta","CHARLES W. SELBY MEMORIAL HOSPITAL, INC.",Private,N/A,General,Level 1,25,9175183301,CWSMHI@gmail.com,1/1/2025,12/31/2025
,51,REGION 2,Cagayan,Aparri,Macanaya,LYCEUM OF APARRI HOSPITAL,Private,N/A,General,Level 1,15,(078) 377-3830 09165132472,lyceumhospital0407@gmail.com,1/1/2025,12/31/2025
,52,REGION 2,Cagayan,Camalaniugan,Bulala,GRUPO MEDICO DE DIOS INC.,Private,N/A,General,Level 2,33,(078) 377-2142 09176251597,grupomedicodedios.ph@gmail.com,1/1/2025,12/31/2025
,53,REGION 2,Cagayan,Sta. Ana,Sta. Cruz,"FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,INC.",Private,N/A,General,Level 1,17,9196716858,fgfmfh@yahoo.com,1/1/2025,12/31/2025
,54,REGION 2,Cagayan,Tuguegarao City,"Pallu Road, Barangay Pallua Norte, Tuguegarao City, Cagayan","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER- TUGUEGARAO, INC",Private,N/A,General,Level 2,35,(078) 825 0527,acemctlab@gmail.com,1/1/2025,12/31/2025
,55,REGION 2,Cagayan,Tuguegarao City,Caritan Centro,"CAGAYAN UNITED DOCTORS MEDICAL CENTER OF TUGUEGARAO CITY, INC.",Private,N/A,General,Level 2,100,(078) 304-8888,cudmci@gmail.com,1/1/2025,12/31/2025
,56,REGION 2,Cagayan,Tuguegarao City,"Arellano cor. Burgos St., Brgy. Centro 06",DIVINE MERCY WELLNESS AND MEDICAL CENTER,Private,N/A,General,Level 2,100,(078) 844-2925,a.dmwc@yahoo.com,1/1/2025,12/31/2025
,57,REGION 2,Cagayan,Tuguegarao City,"#141-A Bonifacio Street, Centro 1",DR. DOMINGO S. DE LEON GENERAL HOSPITAL,Private,N/A,General,Level 1,27,(078) 255-1606 (078) 844-0013,clinica.deleon@hotmail.com,1/1/2025,12/31/2025
,58,REGION 2,Cagayan,Tuguegarao City,"Enrile Blvd, Caggay","DR. RONALD P. GUZMAN MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,(078) 304-0925 / (078) 304-0926 09178419034,ao_rpgmc@yahoo.com,1/1/2025,12/31/2025
,59,REGION 2,Cagayan,Tuguegarao City,"#54 Washington Street, Centro 04",HOLY INFANT HOSPITAL TUGUEGARAO INC.,Private,N/A,General,Level 1,15,(078) 844-1039 09175184828,holyinfanthospital@yahoo.com,1/1/2025,12/31/2025
,60,REGION 2,Cagayan,Tuguegarao City,"#04 Bagay Road, Atulayan Sur",RAPHAEL GENERAL HOSPITAL,Private,N/A,General,Level 2,50,09173103491 09569457834,raphaelgeneralhospital@gmail.com,1/1/2025,12/31/2025
,61,REGION 2,Cagayan,Tuguegarao City,"Luna Extension, Ugac Norte","ST. PAUL HOSPITAL OF TUGUEGARAO, INC.",Private,N/A,General,Level 2,150,(078) 844-2854 09778397905,sph_tuguegarao@yahoo.com.ph,1/1/2025,12/31/2025
,62,REGION 2,Isabela,Alicia,"#100 Rizal Street, Magsaysay",LUCAS-PAGUILA MEDICAL HOSPITAL INCORPORATED,Private,N/A,General,Level 1,39,(078) 325-1619 09163811021,lpmch100@gmail.com,1/1/2025,12/31/2025
,63,REGION 2,Isabela,Alicia,"National Highway, San Antonio",MANANGO HOSPITAL,Private,N/A,General,Level 1,19,(078) 323-2056,records.manango@gmail.com,1/1/2025,12/31/2025
,64,REGION 2,Isabela,Alicia,"Quezon Street, Magsaysay",TOMAS-CACAL MEDICAL CLINIC AND HOSPITAL,Private,N/A,General,Level 1,15,(078) 325-1200 09366559643,tomas_cacal@yahoo.com,1/1/2025,12/31/2025
,65,REGION 2,Isabela,Aurora,"Pasuquin Street, San Jose",PADRON - TIBIO MEDICAL CLINIC,Private,N/A,General,Level 1,16,(078) 652-5101 09950545321,padrontibio.medc@yahoo.com.ph,1/1/2025,12/31/2025
,66,REGION 2,Isabela,Cabatuan,Centro,"CABATUAN FAMILY HOSPITAL, INC.",Private,N/A,General,Level 1,20,(078) 652-0783 09175915850,cabatuanfhi@gmail.com,1/1/2025,12/31/2025
,67,REGION 2,Isabela,Cauayan City,"#27 Burgos Street, District 2,",CAUAYAN MEDICAL SPECIALISTS HOSPITAL,Private,N/A,General,Level 1,95,(078) 652-1401 09560457170,cmshinc_1401@yahoo.com,1/1/2025,12/31/2025
,68,REGION 2,Isabela,Cauayan City,"# 71 FNDY Blvd., San Fermin","DR. ESTER R. GARCIA MEDICAL CENTER, INC.",Private,N/A,General,Level 1,35,(078) 652-2694 09550027864,ergmchumanresourcehr@gmail.com,1/1/2025,12/31/2025
,69,REGION 2,Isabela,Cauayan City,"National Highway, Brgy. Cabaruan","ISABELA UNITED DOCTORS MEDICAL CENTER, INC",Private,N/A,General,Level 2,131,(078) 307-5126,iudmc@yahoo.com.ph,1/1/2025,12/31/2025
,70,REGION 2,Isabela,Cordon,Magsaysay,"JAVONILLO HOSPITAL, INC.",Private,N/A,General,Level 1,17,(078) 682-0112,javonillohospital2015@gmail.com,1/1/2025,12/31/2025
,71,REGION 2,Isabela,Echague,"National Highway, Ipil","ISABELA SOUTH SPECIALISTS HOSPITAL, INC.",Private,N/A,General,Level 1,58,(078) 323-1398 09675034899,isshi2015@gmail.com,1/1/2025,12/31/2025
,72,REGION 2,Isabela,Ilagan City,"Burgos Street, Centro",DR. VICTOR S. VILLAROMAN MEMORIAL HOSPITAL,Private,N/A,General,Level 1,17,(078) 624- 1474 09171008061,dvsvmh@gmail.com,1/1/2025,12/31/2025
,73,REGION 2,Isabela,Ilagan City,"National Highway, Baligatan","ISABELA DOCTORS GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,50,(078) 624-0255 09562210825,idghinc@gmail.com,1/1/2025,12/31/2025
,74,REGION 2,Isabela,Naguilian,"1AH26, San Manuel",PROVIDERS MULTIPURPOSE COOPERATIVE MEDICAL CENTER,Private,N/A,General,Level 1,35,09176250992(078) 420-3588,pmpcmedicalcenter@gmail.com,1/1/2025,12/31/2025
,75,REGION 2,Isabela,Roxas,"Doña Syquia Street, Bantug",A.M. YUMENA GENERAL HOSPITAL INC.,Private,N/A,General,Level 1,14,(078) 642-0171 09949060878,a.m.yumenageneralhospitalinc@gmail.com,1/1/2025,12/31/2025
,76,REGION 2,Isabela,Roxas,Rang-ayan,DAYOS-PASCUAL MEDICAL CLINIC,Private,N/A,General,Level 1,17,9176548666,dpmcroxas@gmail.com jocelyndayos@gmail.com,1/1/2025,12/31/2025
,77,REGION 2,Isabela,Roxas,"#28 S. Osmeña Street, Vira",DUMLAO HOSPITAL,Private,N/A,General,Level 1,15,(078) 642-0003 09176341564,hospital_dumlao@yahoo.com,1/1/2025,12/31/2025
,78,REGION 2,Isabela,Roxas,"National Highway, Bantug","HEALTH CITY MEDICAL CENTER OF ISABELA, INC.",Private,N/A,General,Level 2,30,9175355835,hcmciinc2022@gmail.com,1/1/2025,12/31/2025
,79,REGION 2,Isabela,Roxas,"#220 San Bernabe Street, Vira","SOLLER GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,17,(078) 642-0129,soller_hospital@yahoo.com,1/1/2025,12/31/2025
,80,REGION 2,Isabela,San Mateo,"Quirino Street, Barangay 1",SAN MATEO MULTICARE HOSPITAL INC.,Private,N/A,General,Level 1,15,(078) 323-2543 09067834298,sanmateomulticare@gmail.com,1/1/2025,12/31/2025
,81,REGION 2,Isabela,Santiago City,"Purok 5, National Highway, Mabini","ADVENTIST HOSPITAL - SANTIAGO CITY, INC",Private,N/A,General,Level 2,50,(078) 324-7259 09209713902,adminsec@adventisthealth-stg.com,1/1/2025,12/31/2025
,82,REGION 2,Isabela,Santiago City,"Judge Taguinod St., Centro East","CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,55,(078) 305- 0734,callang_hospital@yahoo.com,1/1/2025,12/31/2025
,83,REGION 2,Isabela,Santiago City,"Four Lanes, Purok 4A, Calaocan","DE VERA MEDICAL CENTER, INC.",Private,N/A,General,Level 2,74,078-305-2787 09175567455,dvmc20@yahoo.com,1/1/2025,12/31/2025
,84,REGION 2,Isabela,Santiago City,"#16 Abuag Street, Villasis",FLORES MEMORIAL MEDICAL CENTER,Private,N/A,General,Level 1,29,(078) 305-1255 09175745016,a.aofmh@yahoo.com,1/1/2025,12/31/2025
,85,REGION 2,Isabela,Santiago City,"Maharlika Highway, Corner Patul Road, Plaridel",RENMAR SPECIALISTS' HOSPITAL,Private,N/A,General,Level 1,10,(078) 305-2743 09155238730,renmarspecialistshospital@gmail.com,1/1/2025,12/31/2025
,86,REGION 2,Isabela,Santiago City,"Purok 7, National Road, Rizal",SANTIAGO MEDICAL CITY,Private,N/A,General,Level 2,109,(078) 353 9999 (078) 353 9888,santiagomedicalcity@yahoo.com,1/1/2025,12/31/2025
,87,REGION 2,Isabela,Tumauini,"Purok 1, Lalauanan",ST. MATTHIAS MEDICAL CENTER OF ISABELA INC.,Private,N/A,General,Level 2,31,09171773400 09178839892,saintmathiasmedicalcenter@gmail.com,1/1/2025,12/31/2025
,88,REGION 2,Nueva Vizcaya,Solano,"Ballesteros street, Roxas, Solano, Nueva Vizcaya",MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE,Private,N/A,General,Level 1,42,(078) 326-7291 09288101193,mmghhsc_nv@yahoo.com,1/1/2025,12/31/2025
,89,REGION 2,Nueva Vizcaya,Solano,Bascaran,PLTCI - LUIS A. TIAM MEDICAL CENTER,Private,N/A,General,Level 2,25,(078) 808-0042 (078) 805-3682 09175504033,pltci_lat.medicalcenter@yahoo.com,1/1/2025,12/31/2025
,90,REGION 2,Nueva Vizcaya,Solano,"National Highway, Brgy. Roxas",SALUBRIS INC.,Private,N/A,General,Level 2,50,(078) 362 4839 09171489977,salubrismedical@gmail.com,1/1/2025,12/31/2025
,91,REGION 3,Aurora,Baler,"Brgy. Suklayin, Baler",PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA BALER AURORA,Private,N/A,General,Level 2,30,042-8724-6929/0912-119-4763,premieregeneral@yahoo.com,1/1/2025,12/31/2025
,92,REGION 3,Bataan,Balanga City,"Sampaguita Street, St. Joseph Subd.",BALANGA MEDICAL CENTER (BMCC) CORPORATION,Private,N/A,General,Level 1,40,047-237-4428/1111,balangamed.cc@gmail.com,1/1/2025,12/31/2025
,93,REGION 3,Bataan,Balanga City,Cuaderno St. Doña Francisca Subdivision,BATAAN DOCTOR'S HOSPITAL & MEDICAL CENTER,Private,N/A,General,Level 2,60,047-237-2050/0919-067-8121,batdocs@yahoo.com,1/1/2025,12/31/2025
,94,REGION 3,Bataan,Balanga City,"Don Manuel Banzon Ave., Brgy. Doña Francisca",BATAAN ST. JOSEPH HOSPITAL & MEDICAL CENTER CORP.,Private,N/A,General,Level 2,50,"047-237-2009, 3009,0226 loc 128",bsjh_72@yahoo.com,1/1/2025,12/31/2025
,95,REGION 3,Bataan,Balanga City,"Lot 1 Psd 25823 Roman, National Highway, Brgy. Tenejero","CENTRO MEDICO DE SANTISIMO ROSARIO, INC.",Private,N/A,General,Level 2,100,047-633-0000,marketing.cmsr@gmail.com cmsrbalanga@gmail.com,1/1/2025,12/31/2025
,96,REGION 3,Bataan,Balanga City,"Calero Street, Ibayo",ISAAC & CATALINA MEDICAL CENTER,Private,N/A,General,Level 1,47,047-237-1435,icmc_balanga@pldtdsl.net,1/1/2025,12/31/2025
,97,REGION 3,Bataan,Dinalupihan,San Ramon,BATAAN PENINSULA MEDICAL CENTER,Private,N/A,General,Level 1,35,047-481-2173/09090178228,bpmc888@hotmail.com,1/1/2025,12/31/2025
,98,REGION 3,Bataan,Mariveles,"Lakandula St., Poblacion",MAHESECO MULTIPURPOSE COOPERATIVE,Private,N/A,General,Level 1,12,047-935-4192,mpc_maheseco.hospital@yahoo.com,1/1/2025,12/31/2025
,99,REGION 3,Bataan,Orion,"J.P. Rizal St.,Wakas",ORION ST. MICHAEL HOSPITAL,Private,N/A,General,Level 1,17,0917-571-5706' 0955-103-9876,osmhprove1@yahoo.com,1/1/2025,12/31/2025
,100,REGION 3,Bataan,Pilar,"21 F. Nuestro St. Batungbacal, Subd., Sta. Rosa, Pilar","MT. SAMAT MEDICAL CENTER, INC",Private,,General,Level 2,42,047-613-1144 / 0945-4866-277,mt.samatmedicalcenter@gmail.com,1/1/2025,12/31/2025
,101,REGION 3,Bulacan,Angat,"Tapatan Road, Marungko",TWIN CARE HOSPITAL,Private,N/A,General,Level 1,35,9688569647,twincarehospital2021@gmail.com,1/1/2025,12/31/2025
,102,REGION 3,Bulacan,Balagtas,#516 Brgy. Wawa,UNITED BALAGTAS DOCTORS HOSPITAL CORPORATION,Private,N/A,General,Level 1,26,044-693-2992 / 0925-703-1331,ubdhc2003@yahoo.com.ph,1/1/2025,12/31/2025
,103,REGION 3,Bulacan,Baliuag,"Lot 2975 C-1 Doña Remedios Trinidad Highway, Brgy Pinagbarilan, Baliwag","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BALIWAG, INC.",Private,N/A,General,Level 2,52,9176223417,acemedicalcenterbaliwag@gmail.com,1/1/2025,12/31/2025
,104,REGION 3,Bulacan,Baliuag,"M Ponce St., Tibag","CASTRO MATERNITY HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 1,78,044-766-1462 / 6026/7022,busoffice01@yahoo.com,1/1/2025,12/31/2025
,105,REGION 3,Bulacan,Baliuag,#237 M. Ponce Street,"MARCELO HOSPITAL OF BALIWAG, INC.",Private,N/A,General,Level 1,27,044-766-4113 / 0917-624-6486,marcelohospitalofbaliwaginc.com,1/1/2025,12/31/2025
,106,REGION 3,Bulacan,Baliuag,214 B. Aquino Ave. Tangos,"MEDICA LA SAGRADA FAMILIA, INC.",Private,N/A,General,Level 1,27,044-766-5018 / 0933-827-0856,sagradafamiliahospital@ymail.com,1/1/2025,12/31/2025
,107,REGION 3,Bulacan,Baliuag,M.Cruz St. Carpa Vil. Sabang,"RUGAY GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,31,044-766-3457 / 09328671156,rugaygenhospital@yahoo.com,1/1/2025,12/31/2025
,108,REGION 3,Bulacan,Bocaue,"Gov. Halili Ave.,Turo",BMMG PHARMACY & HOSPITAL,Private,N/A,General,Level 1,99,044-913-0988 / 0915-623-1326,bmmghsci@yahoo.com,1/1/2025,12/31/2025
,109,REGION 3,Bulacan,Bocaue,"2834 Mcarhtur Highway, Brgy. Lolomboy, Bocaue","BOCAUE SPECIALISTS MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,044-816-4331 / 0923-1674-125,bsmchrdepartment@gmail.com,1/1/2025,12/31/2025
,110,REGION 3,Bulacan,Bocaue,P. Burgos St. Poblacion,"DR. YANGA'S HOSPITAL, INC.",Private,N/A,General,Level 1,50,044-692-5307,dyhhospital2020@gmail.com,1/1/2025,12/31/2025
,111,REGION 3,Bulacan,Bocaue,Bunlo,"MT. CARMEL MEDICAL CENTER OF BULACAN, INC.",Private,,General,Level 1,15,044-769-0504,mtcarmelmedicalcenter@gmail.com,1/1/2025,12/31/2025
,112,REGION 3,Bulacan,Bocaue,"187 J.P Rizal St., Binang Ii","ST. PAUL HOSPITAL BULACAN, INC",Private,N/A,General,Level 1,30,044-794-1955 / 0923-606-3862,sphbulacan.inc@gmail.com,1/1/2025,12/31/2025
