"hospital_name","source","region","province","municipality","ownership","ownership_class","class","service_capability","beds","BLDG OR HOUSE NO., STREET, BRGY (as applicable)","CONTACT NOS.","E-MAIL ADDRESS","VALIDITY FROM","VALIDITY UNTIL"
REYES ULEP CLINIC AND HOSPITAL,Private,REGION 1,Ilocos Sur,Sta. Maria,Private,"",General,Level 1,"25","Simpson St., Poblacion Sur","077-604-9281
09669530782",reyesulepclinicandhospital@gmail.com,"1/1/2025","12/31/2025"
ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,Private,REGION 1,Ilocos Sur,Vigan City,Private,"",General,Level 1,"11","Rizal Street Extension, Brgy. Tamag,","077-674-0109 /
09163345089
09158024251",iscmmgh_coop@yahoo.com.ph,"1/1/2025","12/31/2025"
"VQR FOUNDATION FOR MEDICAL AND COMMUNITY DEVELOPMENT, INC.",Private,REGION 1,Ilocos Sur,Vigan City,Private,"",General,Level 1,"30",Pantay Daya,"077-647-2788
09263414156
09263414158",st.jamesvqrhospital@yahoo.com,"1/1/2025","12/31/2025"
AGOO FAMILY HOSPITAL,Private,REGION 1,La Union,Agoo,Private,"",General,Level 1,"15",San Pedro,"072-607-2708 /
09175640199",docjoe1959@yahoo.com,"1/1/2025","12/31/2025"
BETHANY HOSPITAL INC.,Private,REGION 1,La Union,San Fernando City,Private,"",General,Level 2,"80","Widdoes St. Brgy. II,","0905-2532600",bethanyhospital.mis@gmail.com,"1/1/2025","12/31/2025"
"LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL, INC.",Private,REGION 1,La Union,San Fernando City,Private,"",General,Level 1,"18","Ancheta St., Catbangen","072-607-8339/3898
09084164480
09951686286",launionmed@gmail.com,"1/1/2025","12/31/2025"
"LORMA MEDICAL CENTER, INC.",Private,REGION 1,La Union,San Fernando City,Private,"",General,Level 3,"200","Carlatan, San Fernando City, La Union",(0917)5288406,iso.lorma@gmail.com,"1/1/2025","12/31/2025"
ALAMINOS DOCTORS HOSPITAL,Private,REGION 1,Pangasinan,Alaminos City,Private,"",General,Level 1,"42",Bolaney,"075-696-1843 /
09162502788
09209687680",aldochos2000@gmail.com,"1/1/2025","12/31/2025"
"C & H MEDICAL AND SURGICAL CLINIC, INC.",Private,REGION 1,Pangasinan,Alaminos City,Private,"",General,Level 1,"8","Sadsaran Street, Poblacion","9257468685",cnhhospital@yahoo.com,"1/1/2025","12/31/2025"
JULIUS K. QUIAMBAO (JKQ) MEDICAL AND WELLNESS CENTER,Private,REGION 1,Pangasinan,Bayambang,Private,"",General,Level 2,"100","San Carlos Road, Asin","0969-5022675",compliance@jkqmwc.com,"1/1/2025","12/31/2025"
"NUESTRO SEÑOR SANTO NIÑO HOSPITAL, INC.",Private,REGION 1,Pangasinan,Bayambang,Private,"",General,Level 1,"12","J. Luna St., Polbacion Sur","075-633-5805 /
09156472085",nssnh@yahoo.com,"1/1/2025","12/31/2025"
CENTRAL PANGASINAN HOSPITAL AND MEDICAL CENTER,Private,REGION 1,Pangasinan,Binmaley,Private,"",General,Level 2,"100","National Road, Brgy. Naguilayan","0915-7196061",cphmc.corp@gmail.com,"1/1/2025","12/31/2025"
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-PANGASINAN, INC.",Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"100","23 De Venecia Road, Malued, Dagupan City, Pangasinan","9178015958",acemcpangasinan.admin@gmail.com,"1/1/2025","12/31/2025"
"CUISON HOSPITAL, INCORPORATED",Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 1,"18","Burgos St., Poblacion Oeste","075-515-5121/ 075-522-0387/
09175084527",cuisonhospinc@gmail.com,"1/1/2025","12/31/2025"
"DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL, INC.",Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"100","Mcarthur Highway, Mayombo District","09950917916
09062951678",licensing@villaflorhospital.com.ph,"1/1/2025","12/31/2025"
DECENA GENERAL HOSPITAL,Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 1,"15",Bonuan Gueset,"075-615-7040; Fax 522-2763 /
09052321682
09479906300",dgh_dag@yahoo.com,"1/1/2025","12/31/2025"
"LUZON MEDICAL CENTER, INC.",Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"70","329 Mcarthur Highway, Tapuac","9318065997",luzonmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
MEDICAL CENTRUM DAGUPAN,Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"42",AB Fernandez Avenue East,"0928-7676693",medcentrum_dagupan@yahoo.com.ph,"1/1/2025","12/31/2025"
NAZARETH GENERAL HOSPITAL,Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"60","203 Perez Boulevard","0977-7564299",eeg_ngh@yahoo.com,"1/1/2025","12/31/2025"
SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER,Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"80",Tapuac District,"075-522-2254","carl_md2000@yahoo.com
sghtchr@gmail.com
sghtcitdept@gmail.com","1/1/2025","12/31/2025"
THE MEDICAL CITY PANGASINAN,Private,REGION 1,Pangasinan,Dagupan City,Private,"",General,Level 2,"75",Nable St.,"0925-7072534",tmcpangasinan@themedicalcity.com,"1/1/2025","12/31/2025"
JESUS NAZARENE GENERAL HOSPITAL,Private,REGION 1,Pangasinan,Lingayen,Private,"",General,Level 2,"30","Solis St.,","09334900058
09773485328",jngh08@yahoo.com,"1/1/2025","12/31/2025"
UNIVERSAL HEALTH GENERAL HOSPITAL,Private,REGION 1,Pangasinan,Malasiqui,Private,"",General,Level 2,"50",Brgy. Cabatling,"0917-7915894",uhgh143@gmail.com,"1/1/2025","12/31/2025"
"MBP-BLESSED TRINITY GENERAL HOSPITAL, INC.",Private,REGION 1,Pangasinan,Mangatarem,Private,"",General,Level 1,"18",Umangan,"075-632-1288",MBP_BTGH_inc@yahoo.com,"1/1/2025","12/31/2025"
"DEL CARMEN MEDICAL CLINIC AND HOSPITAL, INC.",Private,REGION 1,Pangasinan,Rosales,Private,"",General,Level 1,"28","Mcarthur Highway, Carmen West","075-637-5221 /
09083805660",delcarmenhospital@yahoo.com,"1/1/2025","12/31/2025"
"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",Private,REGION 1,Pangasinan,Rosales,Private,"",General,Level 1,"25",Carmen West,"075-632-1282 /
075-637-5294 /
09228669359",dmmcmhi@yahoo.com,"1/1/2025","12/31/2025"
ROSALES CHUA PUN MEMORIAL HOSPITAL,Private,REGION 1,Pangasinan,Rosales,Private,"",General,Level 1,"12","Purok 5, Carmay East","075-523-1373 /
09692910161",rchuapun.hosp@gmail.com,"1/1/2025","12/31/2025"
"BLESSED FAMILY DOCTORS GENERAL HOSPITAL, INC.",Private,REGION 1,Pangasinan,San Carlos City,Private,"",General,Level 2,"75",Brgy. Ilang,"0907-9550303
0995-4017889",bfdgh_2003@yahoo.com.ph,"1/1/2025","12/31/2025"
ELGUIRA GENERAL HOSPITAL,Private,REGION 1,Pangasinan,San Carlos City,Private,"",General,Level 2,"30","259 Rizal Avenue","0981-2822489
09238280447",ehospitalbilling@gmail.com,"1/1/2025","12/31/2025"
PANGASINAN DOCTORS HOSPITAL,Private,REGION 1,Pangasinan,San Carlos City,Private,"",General,Level 2,"37",Rizal Avenue,"0977-7564299",recordspdh@gmail.com,"1/1/2025","12/31/2025"
"VIRGEN MILAGROSA MEDICAL CENTER, INC.",Private,REGION 1,Pangasinan,San Carlos City,Private,"",General,Level 2,"50",Martin P. Posadas Avenue,"075-532-9999",vmmc1957@gmail.com,"1/1/2025","12/31/2025"
"NORTHERN LUZON ADVENTIST HOSPITAL, INC.",Private,REGION 1,Pangasinan,Sison,Private,"",General,Level 1,"18",Barangay Artacho,"075-632-3200 /
09614283409",nlahospital@yahoo.com,"1/1/2025","12/31/2025"
TAYUG FAMILY HOSPITAL,Private,REGION 1,Pangasinan,Tayug,Private,"",General,Level 2,"70",Barangobong,"0998-8609177",tayugfamilyhospital@yahoo.com,"1/1/2025","12/31/2025"
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,Private,REGION 1,Pangasinan,Urdaneta,Private,"",General,Level 1,"15","25 High School Drive, San Vicente West","075-656-2103 /
09175002025",dmhospurd@gmail.com,"1/1/2025","12/31/2025"
"URDANETA SACRED HEART HOSPITAL, INC.",Private,REGION 1,Pangasinan,Urdaneta,Private,"",General,Level 2,"128","Mcarthur Highway, San Vicente","0999-2207328","urdanetasacredhearthospital@gmail.com
ushhi1@yahoo.com","1/1/2025","12/31/2025"
APAYAO CAGAYAN MEDICAL CENTER INC.,Private,REGION 2,Cagayan,Abulug,Private,"",General,Level 1,"25","No. 7 National Highway,","9171466558",apayaocagayanmedcenter@gmail.com,"1/1/2025","12/31/2025"
"CHARLES W. SELBY MEMORIAL HOSPITAL, INC.",Private,REGION 2,Cagayan,Aparri,Private,"",General,Level 1,"25","Diego Silang Street,Punta","9175183301",CWSMHI@gmail.com,"1/1/2025","12/31/2025"
LYCEUM OF APARRI HOSPITAL,Private,REGION 2,Cagayan,Aparri,Private,"",General,Level 1,"15",Macanaya,(078) 377-3830 09165132472,lyceumhospital0407@gmail.com,"1/1/2025","12/31/2025"
GRUPO MEDICO DE DIOS INC.,Private,REGION 2,Cagayan,Camalaniugan,Private,"",General,Level 2,"33",Bulala,(078) 377-2142 09176251597,grupomedicodedios.ph@gmail.com,"1/1/2025","12/31/2025"
"FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,INC.",Private,REGION 2,Cagayan,Sta. Ana,Private,"",General,Level 1,"17",Sta. Cruz,"9196716858",fgfmfh@yahoo.com,"1/1/2025","12/31/2025"
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER- TUGUEGARAO, INC",Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 2,"35","Pallu Road, Barangay Pallua Norte, Tuguegarao City, Cagayan",(078) 825 0527,acemctlab@gmail.com,"1/1/2025","12/31/2025"
"CAGAYAN UNITED DOCTORS MEDICAL CENTER OF TUGUEGARAO CITY, INC.",Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 2,"100",Caritan Centro,(078) 304-8888,cudmci@gmail.com,"1/1/2025","12/31/2025"
DIVINE MERCY WELLNESS AND MEDICAL CENTER,Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 2,"100","Arellano cor. Burgos St., Brgy. Centro 06",(078) 844-2925,a.dmwc@yahoo.com,"1/1/2025","12/31/2025"
DR. DOMINGO S. DE LEON GENERAL HOSPITAL,Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 1,"27","#141-A Bonifacio Street, Centro 1",(078) 255-1606 (078) 844-0013,clinica.deleon@hotmail.com,"1/1/2025","12/31/2025"
"DR. RONALD P. GUZMAN MEDICAL CENTER, INC.",Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 2,"100","Enrile Blvd, Caggay",(078) 304-0925 / (078) 304-0926 09178419034,ao_rpgmc@yahoo.com,"1/1/2025","12/31/2025"
HOLY INFANT HOSPITAL TUGUEGARAO INC.,Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 1,"15","#54 Washington Street, Centro 04",(078) 844-1039 09175184828,holyinfanthospital@yahoo.com,"1/1/2025","12/31/2025"
RAPHAEL GENERAL HOSPITAL,Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 2,"50","#04 Bagay Road, Atulayan Sur","09173103491 09569457834",raphaelgeneralhospital@gmail.com,"1/1/2025","12/31/2025"
"ST. PAUL HOSPITAL OF TUGUEGARAO, INC.",Private,REGION 2,Cagayan,Tuguegarao City,Private,"",General,Level 2,"150","Luna Extension, Ugac Norte",(078) 844-2854 09778397905,sph_tuguegarao@yahoo.com.ph,"1/1/2025","12/31/2025"
LUCAS-PAGUILA MEDICAL HOSPITAL INCORPORATED,Private,REGION 2,Isabela,Alicia,Private,"",General,Level 1,"39","#100 Rizal Street, Magsaysay",(078) 325-1619 09163811021,lpmch100@gmail.com,"1/1/2025","12/31/2025"
MANANGO HOSPITAL,Private,REGION 2,Isabela,Alicia,Private,"",General,Level 1,"19","National Highway, San Antonio",(078) 323-2056,records.manango@gmail.com,"1/1/2025","12/31/2025"
TOMAS-CACAL MEDICAL CLINIC AND HOSPITAL,Private,REGION 2,Isabela,Alicia,Private,"",General,Level 1,"15","Quezon Street, Magsaysay",(078) 325-1200 09366559643,tomas_cacal@yahoo.com,"1/1/2025","12/31/2025"
PADRON - TIBIO MEDICAL CLINIC,Private,REGION 2,Isabela,Aurora,Private,"",General,Level 1,"16","Pasuquin Street, San Jose",(078) 652-5101 09950545321,padrontibio.medc@yahoo.com.ph,"1/1/2025","12/31/2025"
"CABATUAN FAMILY HOSPITAL, INC.",Private,REGION 2,Isabela,Cabatuan,Private,"",General,Level 1,"20",Centro,(078) 652-0783 09175915850,cabatuanfhi@gmail.com,"1/1/2025","12/31/2025"
CAUAYAN MEDICAL SPECIALISTS HOSPITAL,Private,REGION 2,Isabela,Cauayan City,Private,"",General,Level 1,"95","#27 Burgos Street, District 2,",(078) 652-1401 09560457170,cmshinc_1401@yahoo.com,"1/1/2025","12/31/2025"
"DR. ESTER R. GARCIA MEDICAL CENTER, INC.",Private,REGION 2,Isabela,Cauayan City,Private,"",General,Level 1,"35","# 71 FNDY Blvd., San Fermin",(078) 652-2694 09550027864,ergmchumanresourcehr@gmail.com,"1/1/2025","12/31/2025"
"ISABELA UNITED DOCTORS MEDICAL CENTER, INC",Private,REGION 2,Isabela,Cauayan City,Private,"",General,Level 2,"131","National Highway, Brgy. Cabaruan",(078) 307-5126,iudmc@yahoo.com.ph,"1/1/2025","12/31/2025"
"JAVONILLO HOSPITAL, INC.",Private,REGION 2,Isabela,Cordon,Private,"",General,Level 1,"17",Magsaysay,(078) 682-0112,javonillohospital2015@gmail.com,"1/1/2025","12/31/2025"
"ISABELA SOUTH SPECIALISTS HOSPITAL, INC.",Private,REGION 2,Isabela,Echague,Private,"",General,Level 1,"58","National Highway, Ipil",(078) 323-1398 09675034899,isshi2015@gmail.com,"1/1/2025","12/31/2025"
DR. VICTOR S. VILLAROMAN MEMORIAL HOSPITAL,Private,REGION 2,Isabela,Ilagan City,Private,"",General,Level 1,"17","Burgos Street, Centro",(078) 624- 1474 09171008061,dvsvmh@gmail.com,"1/1/2025","12/31/2025"
"ISABELA DOCTORS GENERAL HOSPITAL, INC.",Private,REGION 2,Isabela,Ilagan City,Private,"",General,Level 1,"50","National Highway, Baligatan",(078) 624-0255 09562210825,idghinc@gmail.com,"1/1/2025","12/31/2025"
PROVIDERS MULTIPURPOSE COOPERATIVE MEDICAL CENTER,Private,REGION 2,Isabela,Naguilian,Private,"",General,Level 1,"35","1AH26, San Manuel","09176250992(078) 420-3588",pmpcmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
A.M. YUMENA GENERAL HOSPITAL INC.,Private,REGION 2,Isabela,Roxas,Private,"",General,Level 1,"14","Doña Syquia Street, Bantug",(078) 642-0171 09949060878,a.m.yumenageneralhospitalinc@gmail.com,"1/1/2025","12/31/2025"
DAYOS-PASCUAL MEDICAL CLINIC,Private,REGION 2,Isabela,Roxas,Private,"",General,Level 1,"17",Rang-ayan,"9176548666",dpmcroxas@gmail.com jocelyndayos@gmail.com,"1/1/2025","12/31/2025"
DUMLAO HOSPITAL,Private,REGION 2,Isabela,Roxas,Private,"",General,Level 1,"15","#28 S. Osmeña Street, Vira",(078) 642-0003 09176341564,hospital_dumlao@yahoo.com,"1/1/2025","12/31/2025"
"HEALTH CITY MEDICAL CENTER OF ISABELA, INC.",Private,REGION 2,Isabela,Roxas,Private,"",General,Level 2,"30","National Highway, Bantug","9175355835",hcmciinc2022@gmail.com,"1/1/2025","12/31/2025"
"SOLLER GENERAL HOSPITAL, INC.",Private,REGION 2,Isabela,Roxas,Private,"",General,Level 1,"17","#220 San Bernabe Street, Vira",(078) 642-0129,soller_hospital@yahoo.com,"1/1/2025","12/31/2025"
SAN MATEO MULTICARE HOSPITAL INC.,Private,REGION 2,Isabela,San Mateo,Private,"",General,Level 1,"15","Quirino Street, Barangay 1",(078) 323-2543 09067834298,sanmateomulticare@gmail.com,"1/1/2025","12/31/2025"
"ADVENTIST HOSPITAL - SANTIAGO CITY, INC",Private,REGION 2,Isabela,Santiago City,Private,"",General,Level 2,"50","Purok 5, National Highway, Mabini",(078) 324-7259 09209713902,adminsec@adventisthealth-stg.com,"1/1/2025","12/31/2025"
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 2,Isabela,Santiago City,Private,"",General,Level 2,"55","Judge Taguinod St., Centro East",(078) 305- 0734,callang_hospital@yahoo.com,"1/1/2025","12/31/2025"
"DE VERA MEDICAL CENTER, INC.",Private,REGION 2,Isabela,Santiago City,Private,"",General,Level 2,"74","Four Lanes, Purok 4A, Calaocan","078-305-2787 09175567455",dvmc20@yahoo.com,"1/1/2025","12/31/2025"
FLORES MEMORIAL MEDICAL CENTER,Private,REGION 2,Isabela,Santiago City,Private,"",General,Level 1,"29","#16 Abuag Street, Villasis",(078) 305-1255 09175745016,a.aofmh@yahoo.com,"1/1/2025","12/31/2025"
RENMAR SPECIALISTS' HOSPITAL,Private,REGION 2,Isabela,Santiago City,Private,"",General,Level 1,"10","Maharlika Highway, Corner Patul Road, Plaridel",(078) 305-2743 09155238730,renmarspecialistshospital@gmail.com,"1/1/2025","12/31/2025"
SANTIAGO MEDICAL CITY,Private,REGION 2,Isabela,Santiago City,Private,"",General,Level 2,"109","Purok 7, National Road, Rizal",(078) 353 9999 (078) 353 9888,santiagomedicalcity@yahoo.com,"1/1/2025","12/31/2025"
ST. MATTHIAS MEDICAL CENTER OF ISABELA INC.,Private,REGION 2,Isabela,Tumauini,Private,"",General,Level 2,"31","Purok 1, Lalauanan","09171773400 09178839892",saintmathiasmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE,Private,REGION 2,Nueva Vizcaya,Solano,Private,"",General,Level 1,"42","Ballesteros street, Roxas, Solano, Nueva Vizcaya",(078) 326-7291 09288101193,mmghhsc_nv@yahoo.com,"1/1/2025","12/31/2025"
PLTCI - LUIS A. TIAM MEDICAL CENTER,Private,REGION 2,Nueva Vizcaya,Solano,Private,"",General,Level 2,"25",Bascaran,(078) 808-0042 (078) 805-3682 09175504033,pltci_lat.medicalcenter@yahoo.com,"1/1/2025","12/31/2025"
SALUBRIS INC.,Private,REGION 2,Nueva Vizcaya,Solano,Private,"",General,Level 2,"50","National Highway, Brgy. Roxas",(078) 362 4839 09171489977,salubrismedical@gmail.com,"1/1/2025","12/31/2025"
PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA BALER AURORA,Private,REGION 3,Aurora,Baler,Private,"",General,Level 2,"30","Brgy. Suklayin, Baler","042-8724-6929/0912-119-4763",premieregeneral@yahoo.com,"1/1/2025","12/31/2025"
BALANGA MEDICAL CENTER (BMCC) CORPORATION,Private,REGION 3,Bataan,Balanga City,Private,"",General,Level 1,"40","Sampaguita Street, St. Joseph Subd.","047-237-4428/1111",balangamed.cc@gmail.com,"1/1/2025","12/31/2025"
BATAAN DOCTOR'S HOSPITAL & MEDICAL CENTER,Private,REGION 3,Bataan,Balanga City,Private,"",General,Level 2,"60",Cuaderno St. Doña Francisca Subdivision,"047-237-2050/0919-067-8121",batdocs@yahoo.com,"1/1/2025","12/31/2025"
BATAAN ST. JOSEPH HOSPITAL & MEDICAL CENTER CORP.,Private,REGION 3,Bataan,Balanga City,Private,"",General,Level 2,"50","Don Manuel Banzon Ave., Brgy. Doña Francisca","047-237-2009, 3009,0226 loc 128",bsjh_72@yahoo.com,"1/1/2025","12/31/2025"
"CENTRO MEDICO DE SANTISIMO ROSARIO, INC.",Private,REGION 3,Bataan,Balanga City,Private,"",General,Level 2,"100","Lot 1 Psd 25823 Roman, National Highway, Brgy. Tenejero","047-633-0000",marketing.cmsr@gmail.com cmsrbalanga@gmail.com,"1/1/2025","12/31/2025"
ISAAC & CATALINA MEDICAL CENTER,Private,REGION 3,Bataan,Balanga City,Private,"",General,Level 1,"47","Calero Street, Ibayo","047-237-1435",icmc_balanga@pldtdsl.net,"1/1/2025","12/31/2025"
BATAAN PENINSULA MEDICAL CENTER,Private,REGION 3,Bataan,Dinalupihan,Private,"",General,Level 1,"35",San Ramon,"047-481-2173/09090178228",bpmc888@hotmail.com,"1/1/2025","12/31/2025"
MAHESECO MULTIPURPOSE COOPERATIVE,Private,REGION 3,Bataan,Mariveles,Private,"",General,Level 1,"12","Lakandula St., Poblacion","047-935-4192",mpc_maheseco.hospital@yahoo.com,"1/1/2025","12/31/2025"
ORION ST. MICHAEL HOSPITAL,Private,REGION 3,Bataan,Orion,Private,"",General,Level 1,"17","J.P. Rizal St.,Wakas","0917-571-5706' 0955-103-9876",osmhprove1@yahoo.com,"1/1/2025","12/31/2025"
"MT. SAMAT MEDICAL CENTER, INC",Private,REGION 3,Bataan,Pilar,Private,"",General,Level 2,"42","21 F. Nuestro St. Batungbacal, Subd., Sta. Rosa, Pilar","047-613-1144 / 0945-4866-277",mt.samatmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
TWIN CARE HOSPITAL,Private,REGION 3,Bulacan,Angat,Private,"",General,Level 1,"35","Tapatan Road, Marungko","9688569647",twincarehospital2021@gmail.com,"1/1/2025","12/31/2025"
UNITED BALAGTAS DOCTORS HOSPITAL CORPORATION,Private,REGION 3,Bulacan,Balagtas,Private,"",General,Level 1,"26",#516 Brgy. Wawa,"044-693-2992 / 0925-703-1331",ubdhc2003@yahoo.com.ph,"1/1/2025","12/31/2025"
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BALIWAG, INC.",Private,REGION 3,Bulacan,Baliuag,Private,"",General,Level 2,"52","Lot 2975 C-1 Doña Remedios Trinidad Highway, Brgy Pinagbarilan, Baliwag","9176223417",acemedicalcenterbaliwag@gmail.com,"1/1/2025","12/31/2025"
"CASTRO MATERNITY HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 3,Bulacan,Baliuag,Private,"",General,Level 1,"78","M Ponce St., Tibag","044-766-1462 / 6026/7022",busoffice01@yahoo.com,"1/1/2025","12/31/2025"
"MARCELO HOSPITAL OF BALIWAG, INC.",Private,REGION 3,Bulacan,Baliuag,Private,"",General,Level 1,"27",#237 M. Ponce Street,"044-766-4113 / 0917-624-6486",marcelohospitalofbaliwaginc.com,"1/1/2025","12/31/2025"
"MEDICA LA SAGRADA FAMILIA, INC.",Private,REGION 3,Bulacan,Baliuag,Private,"",General,Level 1,"27","214 B. Aquino Ave. Tangos","044-766-5018 / 0933-827-0856",sagradafamiliahospital@ymail.com,"1/1/2025","12/31/2025"
"RUGAY GENERAL HOSPITAL, INC.",Private,REGION 3,Bulacan,Baliuag,Private,"",General,Level 1,"31",M.Cruz St. Carpa Vil. Sabang,"044-766-3457 / 09328671156",rugaygenhospital@yahoo.com,"1/1/2025","12/31/2025"
BMMG PHARMACY & HOSPITAL,Private,REGION 3,Bulacan,Bocaue,Private,"",General,Level 1,"99","Gov. Halili Ave.,Turo","044-913-0988 / 0915-623-1326",bmmghsci@yahoo.com,"1/1/2025","12/31/2025"
"BOCAUE SPECIALISTS MEDICAL CENTER, INC.",Private,REGION 3,Bulacan,Bocaue,Private,"",General,Level 2,"100","2834 Mcarhtur Highway, Brgy. Lolomboy, Bocaue","044-816-4331 / 0923-1674-125",bsmchrdepartment@gmail.com,"1/1/2025","12/31/2025"
"DR. YANGA'S HOSPITAL, INC.",Private,REGION 3,Bulacan,Bocaue,Private,"",General,Level 1,"50",P. Burgos St. Poblacion,"044-692-5307",dyhhospital2020@gmail.com,"1/1/2025","12/31/2025"
"MT. CARMEL MEDICAL CENTER OF BULACAN, INC.",Private,REGION 3,Bulacan,Bocaue,Private,"",General,Level 1,"15",Bunlo,"044-769-0504",mtcarmelmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
"ST. PAUL HOSPITAL BULACAN, INC",Private,REGION 3,Bulacan,Bocaue,Private,"",General,Level 1,"30","187 J.P Rizal St., Binang Ii","044-794-1955 / 0923-606-3862",sphbulacan.inc@gmail.com,"1/1/2025","12/31/2025"
